,Village Name,English Name,District Name,Mohafaza
0,عبا,Aba,النبطية,النبطية
1,عباسية,Abbassyat,صور,الجنوب
2,عبدللي,Abdilli,البترون,الشمال
3,عبدين,Abdine,بشري,الشمال
4,ابلح,Ablah,زحلة,البقاع
5,عبرا,Abra,قرى صيدا,الجنوب
6,عبرين,Abrine,البترون,الشمال
7,عشقوت,Achkoute,كسروان,جبل لبنان
8,عدشيت,Adchite,قضاءي مرجعيون وحاصبيا,النبطية
9,عدشيت,Adchite,النبطية,النبطية
10,عدلون,Adloun,قرى صيدا,الجنوب
11,عفصديق,Afsdik,الكورة,الشمال
12,اغميد,Aghmide,عاليه,جبل لبنان
13,عيناب,Aïnab,عاليه,جبل لبنان
14,عيناتا,Aïnata,قضاءي بعلبك والهرمل,بعلبك والهرمل
15,عيناتا,Aïnata,بنت جبيل,النبطية
16,عينطورين,Aïntourine,زغرتا,الشمال
17,عيتنيت,Aïtanit,قضاءي البقاع الغربي وراشيا,البقاع
18,عيترون,Aïtaroun,بنت جبيل,النبطية
19,عيتات,Aïtate,عاليه,جبل لبنان
20,عيتيت,Aïtite,صور,الجنوب
21,ايطو,Aïto,زغرتا,الشمال
22,عجلتون,Ajeltoun,كسروان,جبل لبنان
23,اكروم,Akroum,عكار,عكار
24,عقتنيت,Aktanite,قرى صيدا,الجنوب
25,علما,Alma,زغرتا,الشمال
26,علمان,Almane,قضاءي مرجعيون وحاصبيا,النبطية
27,علمان,Almane,الشوف,جبل لبنان
28,عمشيت,Amchite,جبيل,جبل لبنان
29,عماطور,Ammatour,الشوف,جبل لبنان
30,عميق,Ammik,قضاءي البقاع الغربي وراشيا,البقاع
31,عميق,Ammik,الشوف,جبل لبنان
32,عانا,Ana,قضاءي البقاع الغربي وراشيا,البقاع
33,انان,Anane,جزين,الجنوب
34,عندقت,Andeket,عكار,عكار
35,عنقون,Ankoune,قرى صيدا,الجنوب
36,عانوت,Anoute,الشوف,جبل لبنان
37,انصاريه,Ansariyé,قرى صيدا,الجنوب
38,انطلياس,Antélias,المتن,جبل لبنان
39,عرمون,Aramoun,عاليه,جبل لبنان
40,عرمون,Aramoun,كسروان,جبل لبنان
41,عرمتي,Aramté,جزين,الجنوب
42,عاريا,Araya,بعبدا,جبل لبنان
43,ارده,Ardé,زغرتا,الشمال
44,عرجس,Argesse,زغرتا,الشمال
45,عرقا,Arka,عكار,عكار
46,اركي,Arké,قرى صيدا,الجنوب
