,Unnamed: 0,English Name,Arabic Name,Column2,Column3
0,0,Aaouainat,,Akkar,Akkar
1,1,Aidamoun shikhlar,,Akkar,Akkar
2,2,Aïn-Yacoub,,Akkar,Akkar
3,3,Aïn El-Zeit,عين الزيت,Akkar,Akkar
4,4,Aïn Tanta,عين تنتا,Akkar,Akkar
5,5,Akkar El-Atika,,Akkar,Akkar
6,6,Akroum,اكروم,Akkar,Akkar
7,7,Al-Abboudié,العبده,Akkar,Akkar
8,8,Al-Amara,,Akkar,Akkar
9,9,Al-Hissa,,Akkar,Akkar
10,10,Al-Jédidé,,Akkar,Akkar
11,11,Al-Kharnoubé,الخرنوب,Akkar,Akkar
12,12,Al-Khraibé,الخريبه,Akkar,Akkar
13,13,Al-Khraibé (Kousha),,Akkar,Akkar
14,14,Al-Kleiat,,Akkar,Akkar
15,15,Al-Kneissé,الكنيسه,Akkar,Akkar
16,16,Al-Massoudié,,Akkar,Akkar
17,17,Al-Mehamra,المحمرة,Akkar,Akkar
18,18,Al-Moukaiteh,,Akkar,Akkar
19,19,Al-Mouzeihmé,صيدا حي مار نقولا,Akkar,Akkar
20,20,Al-Rihanié,الريحان,Akkar,Akkar
21,21,Al-Roumoul,,Akkar,Akkar
22,22,Al-Sammounié,,Akkar,Akkar
23,23,Al-Semmakié,,Akkar,Akkar
24,24,Al-Semmakli,,Akkar,Akkar
25,25,Al-Souaissé,,Akkar,Akkar
26,26,Al-Zoureiribe,,Akkar,Akkar
27,27,Al Moghrak,,Akkar,Akkar
28,28,Andeket,عندقت,Akkar,Akkar
29,29,Arida,,Akkar,Akkar
30,30,Arka,عرقا,Akkar,Akkar
31,31,Barbara,,Akkar,Akkar
32,32,Barcha,,Akkar,Akkar
33,33,Bazbina,بزبينا,Akkar,Akkar
34,34,Bebnine,ببنين,Akkar,Akkar
35,35,Beino,بينو,Akkar,Akkar
36,36,Beit-El-Haouche,,Akkar,Akkar
37,37,Beit-Ghattas,,Akkar,Akkar
38,38,Beit Ayoub,,Akkar,Akkar
39,39,Beit Mallat,بيت ملات,Akkar,Akkar
40,40,Beit Younes,بيت يونس,Akkar,Akkar
41,41,Berkayel,برقايل,Akkar,Akkar
42,42,Bkarzala,بقرزلا,Akkar,Akkar
43,43,Bzal,بزال,Akkar,Akkar
44,44,Chakdouf,,Akkar,Akkar
45,45,Chane,شان,Akkar,Akkar
46,46,Charbila,شربيلا,Akkar,Akkar
47,47,Cheikh Mohamed,,Akkar,Akkar
48,48,Cheikh Taba Montagne,,Akkar,Akkar
49,49,Cheikh Taba Plaine,,Akkar,Akkar
50,50,Cheikh Zennad Tal Bibé,,Akkar,Akkar
51,51,Cheir Homeirine,,Akkar,Akkar
52,52,Chikhlar,شيخلار,Akkar,Akkar
53,53,Dabbabiyé Charkié,,Akkar,Akkar
54,54,Dahr-Leyciné,,Akkar,Akkar
55,55,Dahr el-Kneissé,,Akkar,Akkar
56,56,Dahr Haddara,,Akkar,Akkar
57,57,Danbou,,Akkar,Akkar
58,58,Daoucé et Baghdadi,,Akkar,Akkar
59,59,Daoura,,Akkar,Akkar
60,60,Dayret Nahr El-Kébir,,Akkar,Akkar
61,61,Deir-Daloum,,Akkar,Akkar
62,62,Deir-Janine,,Akkar,Akkar
63,63,Deirine,,Akkar,Akkar
64,64,Denké et El-Amriyeh,,Akkar,Akkar
65,65,Douair Adouiyé,دوير عدويه,Akkar,Akkar
66,66,Edbel,عدبل,Akkar,Akkar
67,67,El-Armeh,,Akkar,Akkar
68,68,El-Bardé,,Akkar,Akkar
69,69,El-Biré,البيره,Akkar,Akkar
70,70,El-Borge,البرج,Akkar,Akkar
71,71,El-Daghlé,الدغلي,Akkar,Akkar
72,72,El-Ghozaili,,Akkar,Akkar
73,73,El-Haouchab,,Akkar,Akkar
74,74,El-Hed,الهد,Akkar,Akkar
75,75,El-Houaïche,الحوش,Akkar,Akkar
76,76,El-Kantara,,Akkar,Akkar
77,77,El-Karkaf,القرقف,Akkar,Akkar
78,78,El-Kneissé,,Akkar,Akkar
79,79,El-Korné,,Akkar,Akkar
80,80,El-Kouachra,,Akkar,Akkar
81,81,El-Koubayet,القبيات,Akkar,Akkar
82,82,El-Kousseir,القصير,Akkar,Akkar
83,83,El-Krayat,القريات,Akkar,Akkar
84,84,El-Msallé,,Akkar,Akkar
85,85,El-Nfeicé,,Akkar,Akkar
86,86,El-Tleil,التليل,Akkar,Akkar
87,87,ElAyoune,العين,Akkar,Akkar
88,88,Eyoune-El-Ghouzlane,,Akkar,Akkar
89,89,Fneidek,فنيدق,Akkar,Akkar
90,90,Freidice,فريديس,Akkar,Akkar
91,91,Fseikine et Aïn Achma,,Akkar,Akkar
92,92,Habchite,حبشيت,Akkar,Akkar
93,93,Halba,حلبا,Akkar,Akkar
94,94,Harare,حرار,Akkar,Akkar
95,95,Haytla,هيتلا,Akkar,Akkar
96,96,Hayzouk,حيزوق,Akkar,Akkar
97,97,Hekr el Dahiri,,Akkar,Akkar
98,98,Hmais,حميص,Akkar,Akkar
99,99,Hnaïder,حنيدر,Akkar,Akkar
100,100,Homeira,,Akkar,Akkar
101,101,Iate,,Akkar,Akkar
102,102,Ilate,ايلات,Akkar,Akkar
103,103,Janine,,Akkar,Akkar
104,104,Jebrâil,جبرايل,Akkar,Akkar
105,105,Jedeidet-El-Kayteh,,Akkar,Akkar
106,106,Jouret Srar,,Akkar,Akkar
107,107,Kaabarine,,Akkar,Akkar
108,108,Kachlak,قشلق,Akkar,Akkar
109,109,Kafr Malka,,Akkar,Akkar
110,110,Karem-Asfour-El-Nahrieh,,Akkar,Akkar
111,111,Katté,,Akkar,Akkar
112,112,Kboula,قبولا,Akkar,Akkar
113,113,Kefr El-Ftouh,كفر الفتوح,Akkar,Akkar
114,114,Kfar Harra,,Akkar,Akkar
115,115,Kfarnoune,كفرنون,Akkar,Akkar
116,116,Kfartun,كفرتون,Akkar,Akkar
117,117,Khalsa,,Akkar,Akkar
118,118,Kherbet Char,خربة شار,Akkar,Akkar
119,119,Kherbet Daoud,,Akkar,Akkar
120,120,Khirbet Er Remmane,,Akkar,Akkar
121,121,Khreibet Aakkar,,Akkar,Akkar
122,122,Kloud El-Bakia,قلود الباقية,Akkar,Akkar
