,English Name,Arabic Name,Column2,Column3
0,Aaouainat,,Akkar,Akkar
1,Aidamoun shikhlar,,Akkar,Akkar
2,Aïn-Yacoub,,Akkar,Akkar
3,Aïn El-Zeit,عين الزيت,Akkar,Akkar
4,Aïn Tanta,عين تنتا,Akkar,Akkar
5,Akkar El-Atika,,Akkar,Akkar
6,Akroum,اكروم,Akkar,Akkar
7,Al-Abboudié,العبده,Akkar,Akkar
8,Al-Amara,,Akkar,Akkar
9,Al-Hissa,,Akkar,Akkar
10,Al-Jédidé,,Akkar,Akkar
11,Al-Kharnoubé,الخرنوب,Akkar,Akkar
12,Al-Khraibé,الخريبه,Akkar,Akkar
13,Al-Khraibé (Kousha),,Akkar,Akkar
14,Al-Kleiat,,Akkar,Akkar
15,Al-Kneissé,الكنيسه,Akkar,Akkar
16,Al-Massoudié,,Akkar,Akkar
17,Al-Mehamra,المحمرة,Akkar,Akkar
18,Al-Moukaiteh,,Akkar,Akkar
19,Al-Mouzeihmé,,Akkar,Akkar
20,Al-Rihanié,الريحان,Akkar,Akkar
21,Al-Roumoul,,Akkar,Akkar
22,Al-Sammounié,,Akkar,Akkar
23,Al-Semmakié,,Akkar,Akkar
24,Al-Semmakli,,Akkar,Akkar
25,Al-Souaissé,,Akkar,Akkar
26,Al-Zoureiribe,,Akkar,Akkar
27,Al Moghrak,,Akkar,Akkar
28,Andeket,عندقت,Akkar,Akkar
29,Arida,,Akkar,Akkar
30,Arka,عرقا,Akkar,Akkar
31,Barbara,,Akkar,Akkar
32,Barcha,,Akkar,Akkar
33,Bazbina,بزبينا,Akkar,Akkar
34,Bebnine,ببنين,Akkar,Akkar
35,Beino,بينو,Akkar,Akkar
36,Beit-El-Haouche,,Akkar,Akkar
37,Beit-Ghattas,,Akkar,Akkar
38,Beit Ayoub,,Akkar,Akkar
39,Beit Mallat,بيت ملات,Akkar,Akkar
40,Beit Younes,بيت يونس,Akkar,Akkar
41,Berkayel,برقايل,Akkar,Akkar
42,Bkarzala,بقرزلا,Akkar,Akkar
43,Bzal,بزال,Akkar,Akkar
44,Chakdouf,,Akkar,Akkar
45,Chane,شان,Akkar,Akkar
46,Charbila,شربيلا,Akkar,Akkar
47,Cheikh Mohamed,,Akkar,Akkar
48,Cheikh Taba Montagne,,Akkar,Akkar
49,Cheikh Taba Plaine,,Akkar,Akkar
50,Cheikh Zennad Tal Bibé,,Akkar,Akkar
51,Cheir Homeirine,,Akkar,Akkar
52,Chikhlar,شيخلار,Akkar,Akkar
53,Dabbabiyé Charkié,,Akkar,Akkar
54,Dahr-Leyciné,,Akkar,Akkar
55,Dahr el-Kneissé,,Akkar,Akkar
56,Dahr Haddara,,Akkar,Akkar
57,Danbou,,Akkar,Akkar
58,Daoucé et Baghdadi,,Akkar,Akkar
59,Daoura,,Akkar,Akkar
60,Dayret Nahr El-Kébir,,Akkar,Akkar
61,Deir-Daloum,,Akkar,Akkar
62,Deir-Janine,,Akkar,Akkar
63,Deirine,,Akkar,Akkar
64,Denké et El-Amriyeh,,Akkar,Akkar
65,Douair Adouiyé,دوير عدويه,Akkar,Akkar
66,Edbel,عدبل,Akkar,Akkar
67,El-Armeh,,Akkar,Akkar
68,El-Bardé,,Akkar,Akkar
69,El-Biré,البيره,Akkar,Akkar
70,El-Borge,البرج,Akkar,Akkar
71,El-Daghlé,الدغلي,Akkar,Akkar
72,El-Ghozaili,,Akkar,Akkar
73,El-Haouchab,,Akkar,Akkar
74,El-Hed,الهد,Akkar,Akkar
75,El-Houaïche,الحوش,Akkar,Akkar
76,El-Kantara,,Akkar,Akkar
77,El-Karkaf,القرقف,Akkar,Akkar
78,El-Kneissé,,Akkar,Akkar
79,El-Korné,,Akkar,Akkar
80,El-Kouachra,,Akkar,Akkar
81,El-Koubayet,القبيات,Akkar,Akkar
82,El-Kousseir,القصير,Akkar,Akkar
83,El-Krayat,القريات,Akkar,Akkar
84,El-Msallé,,Akkar,Akkar
85,El-Nfeicé,,Akkar,Akkar
86,El-Tleil,التليل,Akkar,Akkar
87,ElAyoune,العين,Akkar,Akkar
88,Eyoune-El-Ghouzlane,,Akkar,Akkar
89,Fneidek,فنيدق,Akkar,Akkar
90,Freidice,فريديس,Akkar,Akkar
91,Fseikine et Aïn Achma,,Akkar,Akkar
92,Habchite,حبشيت,Akkar,Akkar
93,Halba,حلبا,Akkar,Akkar
94,Harare,حرار,Akkar,Akkar
95,Haytla,هيتلا,Akkar,Akkar
96,Hayzouk,حيزوق,Akkar,Akkar
97,Hekr el Dahiri,,Akkar,Akkar
98,Hmais,حميص,Akkar,Akkar
99,Hnaïder,حنيدر,Akkar,Akkar
100,Homeira,,Akkar,Akkar
101,Iate,,Akkar,Akkar
102,Ilate,ايلات,Akkar,Akkar
103,Janine,,Akkar,Akkar
104,Jebrâil,جبرايل,Akkar,Akkar
105,Jedeidet-El-Kayteh,,Akkar,Akkar
106,Jouret Srar,,Akkar,Akkar
107,Kaabarine,,Akkar,Akkar
108,Kachlak,قشلق,Akkar,Akkar
109,Kafr Malka,,Akkar,Akkar
110,Karem-Asfour-El-Nahrieh,,Akkar,Akkar
111,Katté,,Akkar,Akkar
112,Kboula,قبولا,Akkar,Akkar
113,Kefr El-Ftouh,كفر الفتوح,Akkar,Akkar
114,Kfar Harra,,Akkar,Akkar
115,Kfarnoune,كفرنون,Akkar,Akkar
116,Kfartun,كفرتون,Akkar,Akkar
117,Khalsa,,Akkar,Akkar
118,Kherbet Char,خربة شار,Akkar,Akkar
119,Kherbet Daoud,,Akkar,Akkar
120,Khirbet Er Remmane,,Akkar,Akkar
121,Khreibet Aakkar,,Akkar,Akkar
122,Kloud El-Bakia,قلود الباقية,Akkar,Akkar
123,Kobbet Bchamra,قبة بشمرا,Akkar,Akkar
124,Koueikhat,كويخات,Akkar,Akkar
125,Kroum Arabe,كروم عرب,Akkar,Akkar
126,litige,,Akkar,Akkar
127,Machha,مشحا,Akkar,Akkar
128,Machta Hammoud,مشتى حمود,Akkar,Akkar
129,Machta Hassan,مشتى حسن,Akkar,Akkar
