البترون,ạlbtrwn
الفتاحات وحربونا,ạlftạḥạt wḥrbwnạ
آسيا,ậsyạ
بشتودار,bsẖtwdạr
بيت شلالا,byt sẖlạlạ
تنورين التحتا,tnwryn ạltḥtạ
تنورين الفوقا,tnwryn ạlfwqạ
دير بلا,dyr blạ
راشكده,rạsẖkdh
راشكيده,rạsẖkydh
صغار,ṣgẖạr
صورات,ṣwrạt
ضهر ابو ياغي,ḍhr ạbw yạgẖy
عرتز,ʿrtz
عورا,ʿwrạ
غوما,gẖwmạ
قندولا,qndwlạ
كفر حتنا,kfr ḥtnạ
كفر حلده,kfr ḥldh
كفرحي,kfrḥy
مراح الحاج,mrạḥ ạlḥạj
مراح الزيات,mrạḥ ạlzyạt
مراح شديد ودير شواح,mrạḥ sẖdyd wdyr sẖwạḥ
مسرح والبقيعة,msrḥ wạlbqyʿẗ
وجه الحجر,wjh ạlḥjr
البطال,ạlbṭạl
الجاهلية,ạljạhlyẗ
الجميليه,ạljmylyh
الجيه,ạljyh
الدامور,ạldạmwr
الدبية,ạldbyẗ
الرميله,ạlrmylh
الزعرورية,ạlzʿrwryẗ
السمقانية,ạlsmqạnyẗ
الفواره,ạlfwạrh
الكحلونية,ạlkḥlwnyẗ
الكنيسة,ạlknysẗ
المحتقره دير المخلص,ạlmḥtqrh dyr ạlmkẖlṣ
المطله,ạlmṭlh
المغيريه,ạlmgẖyryh
الناعمه,ạlnạʿmh
الوردانية,ạlwrdạnyẗ
الورهانية,ạlwrhạnyẗ
بريح,bryḥ
بعذران,bʿdẖrạn
بعقلين التحتا,bʿqlyn ạltḥtạ
بعقلين الفوقا,bʿqlyn ạlfwqạ
بقعاتا,bqʿạtạ
جباع,jbạʿ
جدرا - وادي الزينة,jdrạ - wạdy ạlzynẗ
جديدة الشوف,jdydẗ ạlsẖwf
حارة الناعمه,ḥạrẗ ạlnạʿmh
حارة بعاصير,ḥạrẗ bʿạṣyr
دير دوريت,dyr dwryt
شحيم حي البدوي,sẖḥym ḥy ạlbdwy
شحيم حي البيادر,sẖḥym ḥy ạlbyạdr
شحيم حي الجامع,sẖḥym ḥy ạljạmʿ
شحيم حي السهله,sẖḥym ḥy ạlshlh
شحيم حي الشريفة,sẖḥym ḥy ạlsẖryfẗ
شحيم حي الوسطاني,sẖḥym ḥy ạlwsṭạny
شحيم حي شحرور,sẖḥym ḥy sẖḥrwr
عين الاسد والشميس,ʿyn ạlạsd wạlsẖmys
عين الحور,ʿyn ạlḥwr
عين وزين,ʿyn wzyn
كفر قطره,kfr qṭrh
كفرنبرخ,kfrnbrkẖ
كليليه,klylyh
