,Column1,Village Name,English Name,District Name,Mohafaza
0,0,عبا,Aba,النبطية,النبطية
1,1,عباسية,Abbassyat,صور,الجنوب
2,2,عبدللي,Abdilli,البترون,الشمال
3,3,عبدين,Abdine,بشري,الشمال
4,4,ابلح,Ablah,زحلة,البقاع
5,5,عبرا,Abra,قرى صيدا,الجنوب
6,6,عبرين,Abrine,البترون,الشمال
7,7,عشقوت,Achkoute,كسروان,جبل لبنان
8,8,عدشيت,Adchite,قضاءي مرجعيون وحاصبيا,النبطية
9,9,عدشيت,Adchite,النبطية,النبطية
10,10,عدلون,Adloun,قرى صيدا,الجنوب
11,11,عفصديق,Afsdik,الكورة,الشمال
12,12,اغميد,Aghmide,عاليه,جبل لبنان
13,13,عيناب,Aïnab,عاليه,جبل لبنان
14,14,عيناتا,Aïnata,قضاءي بعلبك والهرمل,بعلبك والهرمل
15,15,عيناتا,Aïnata,بنت جبيل,النبطية
16,16,عينطورين,Aïntourine,زغرتا,الشمال
17,17,عيتنيت,Aïtanit,قضاءي البقاع الغربي وراشيا,البقاع
18,18,عيترون,Aïtaroun,بنت جبيل,النبطية
19,19,عيتات,Aïtate,عاليه,جبل لبنان
20,20,عيتيت,Aïtite,صور,الجنوب
21,21,ايطو,Aïto,زغرتا,الشمال
22,22,عجلتون,Ajeltoun,كسروان,جبل لبنان
23,23,اكروم,Akroum,عكار,عكار
24,24,عقتنيت,Aktanite,قرى صيدا,الجنوب
25,25,علما,Alma,زغرتا,الشمال
26,26,علمان,Almane,قضاءي مرجعيون وحاصبيا,النبطية
27,27,علمان,Almane,الشوف,جبل لبنان
28,28,عمشيت,Amchite,جبيل,جبل لبنان
29,29,عماطور,Ammatour,الشوف,جبل لبنان
30,30,عميق,Ammik,قضاءي البقاع الغربي وراشيا,البقاع
31,31,عميق,Ammik,الشوف,جبل لبنان
32,32,عانا,Ana,قضاءي البقاع الغربي وراشيا,البقاع
33,33,انان,Anane,جزين,الجنوب
34,34,عندقت,Andeket,عكار,عكار
35,35,عنقون,Ankoune,قرى صيدا,الجنوب
36,36,عانوت,Anoute,الشوف,جبل لبنان
37,37,انصاريه,Ansariyé,قرى صيدا,الجنوب
38,38,انطلياس,Antélias,المتن,جبل لبنان
39,39,عرمون,Aramoun,عاليه,جبل لبنان
40,40,عرمون,Aramoun,كسروان,جبل لبنان
41,41,عرمتي,Aramté,جزين,الجنوب
42,42,عاريا,Araya,بعبدا,جبل لبنان
43,43,ارده,Ardé,زغرتا,الشمال
44,44,عرجس,Argesse,زغرتا,الشمال
45,45,عرقا,Arka,عكار,عكار
46,46,اركي,Arké,قرى صيدا,الجنوب
47,47,ارنون,Arnoune,النبطية,النبطية
48,48,ارصون,Arsoune,بعبدا,جبل لبنان
49,49,ارزي,Arzey,قرى صيدا,الجنوب
50,50,ارزون,Arzoune,صور,الجنوب
51,51,اصنون,Asnoune,زغرتا,الشمال
52,52,عاصون,Assoun,الضنية,الشمال
53,53,عترين,Atrine,الشوف,جبل لبنان
54,54,عازور,Azour,جزين,الجنوب
55,55,بعبدا,Baabda,بعبدا,جبل لبنان
56,56,بعلول,Baaloul,قضاءي البقاع الغربي وراشيا,البقاع
57,57,بعاصير,Baassir,الشوف,جبل لبنان
58,58,بشوات,Bachwat,قضاءي بعلبك والهرمل,بعلبك والهرمل
59,59,بدبهون,Badbhoun,الكورة,الشمال
60,60,بافليه,Bafliyé,صور,الجنوب
61,61,بيقون,Baïkoun,الشوف,جبل لبنان
62,62,بيصور,Baissour,جزين,الجنوب
63,63,بيصور,Baissour,عاليه,جبل لبنان
64,64,بكا,Bakka,قضاءي البقاع الغربي وراشيا,البقاع
65,65,بكيفا,Bakkifa,قضاءي البقاع الغربي وراشيا,البقاع
66,66,بكيفا,Bakkifa,الشوف,جبل لبنان
67,67,بلونه,Ballouné,كسروان,جبل لبنان
68,68,بان,Bane,بشري,الشمال
69,69,برعشيت,Baraachite,بنت جبيل,النبطية
70,70,برغون,Bargoune,الكورة,الشمال
71,71,برجا,Barja,الشوف,جبل لبنان
72,72,برسا,Barsa,الكورة,الشمال
73,73,باتر,Bater,الشوف,جبل لبنان
74,74,بتلون,Batloune,الشوف,جبل لبنان
75,75,باتولية,Batouliyat,صور,الجنوب
76,76,بزبينا,Bazbina,عكار,عكار
77,77,بشعله,Bchaalé,البترون,الشمال
78,78,بشامون,Bchamoune,عاليه,جبل لبنان
79,79,بشتفين,Bchatfine,الشوف,جبل لبنان
80,80,بشنين,Bchenine,زغرتا,الشمال
81,81,بشللي,Bchillé,جبيل,جبل لبنان
82,82,بدبا,Bdebba,الكورة,الشمال
83,83,بدادون,Bdédoune,عاليه,جبل لبنان
84,84,ببنين,Bebnine,عكار,عكار
85,85,بشمزين,Bechmezzine,الكورة,الشمال
86,86,بدغان,Bedghane,عاليه,جبل لبنان
87,87,بدنايل,Bednayel,قضاءي بعلبك والهرمل,بعلبك والهرمل
88,88,بدنايل,Bednayel,الكورة,الشمال
89,89,بحديدات,Behdaidate,جبيل,جبل لبنان
90,90,بينو,Beino,عكار,عكار
91,91,بجدرفل,Bejdarfel,البترون,الشمال
92,92,بجه,Bejjé,جبيل,جبل لبنان
93,93,بنويتي,Benouaïti,الشوف,جبل لبنان
94,94,بنواتي,Benwati,جزين,الجنوب
95,95,برحليون,Berhalioun,بشري,الشمال
96,96,برقايل,Berkayel,عكار,عكار
97,97,برتي,Berti,قرى صيدا,الجنوب
98,98,بزحل,Bezhel,كسروان,جبل لبنان
99,99,بحبوش,Bhabbouche,الكورة,الشمال
100,100,بحنين,Bhanine,المنية,الشمال
101,101,بياقوت,Biakoute,المتن,جبل لبنان
102,102,بدياس,Bidias,صور,الجنوب
103,103,بكفيا,Bikfaya,المتن,جبل لبنان
104,104,بسري,Bisri,جزين,الجنوب
105,105,بسرين,Bisrine,عاليه,جبل لبنان
106,106,بقرقاشا,Bkarkacha,بشري,الشمال
107,107,بقرزلا,Bkarzala,عكار,عكار
108,108,بكفتين,Bkeftine,الكورة,الشمال
109,109,بقنايا,Bkennaya,المتن,جبل لبنان
110,110,بكاسين,Bkessine,جزين,الجنوب
111,111,بلوزا,Blaouza,بشري,الشمال
112,112,بلاط,Blat,قضاءي مرجعيون وحاصبيا,النبطية
113,113,بلاط,Blat,جبيل,جبل لبنان
114,114,بليبل,Bleibel,عاليه,جبل لبنان
115,115,بليدا,Blida,قضاءي مرجعيون وحاصبيا,النبطية
116,116,بمكين,Bmakkine,عاليه,جبل لبنان
117,117,بمريم,Bmariam,بعبدا,جبل لبنان
118,118,بنعفول,Bnaafoul,قرى صيدا,الجنوب
119,119,بنهران,Bnehrane,الكورة,الشمال
120,120,بقسميا,Boksmaya,البترون,الشمال
121,121,بطمه,Botmé,الشوف,جبل لبنان
122,122,بوسيط,Boucite,زغرتا,الشمال
123,123,بوداي,Bouday,قضاءي بعلبك والهرمل,بعلبك والهرمل
124,124,بوارج,Bouerije,زحلة,البقاع
125,125,بصليا,Bouslaya,جزين,الجنوب
126,126,بريسات,Brissat,بشري,الشمال
127,127,برمانا,Broummana,المتن,جبل لبنان
128,128,بسابا,Bsaba,الشوف,جبل لبنان
129,129,بسابا,Bsaba,بعبدا,جبل لبنان
130,130,بصاليم,Bsalime,المتن,جبل لبنان
131,131,بصرما,Bsarma,الكورة,الشمال
132,132,بسوس,Bsous,عاليه,جبل لبنان
133,133,بتاتر,Btater,عاليه,جبل لبنان
134,134,بتبيات,Btebiat,بعبدا,جبل لبنان
135,135,بتغرين,Bteghrine,المتن,جبل لبنان
136,136,بطرماز,Btermaz,الضنية,الشمال
137,137,بطرام,Bterram,الكورة,الشمال
138,138,بتوراتيج,Btouratige,الكورة,الشمال
139,139,برغز,Burghoz,قضاءي مرجعيون وحاصبيا,النبطية
140,140,بزال,Bzal,عكار,عكار
141,141,بزبدين,Bzebdine,بعبدا,جبل لبنان
142,142,بزيزا,Bziza,الكورة,الشمال
143,143,بزمار,Bzoumar,كسروان,جبل لبنان
144,144,شبطين,Chabtine,البترون,الشمال
145,145,شحتول,Chahtoul,كسروان,جبل لبنان
146,146,شقرا,Chakra,بنت جبيل,النبطية
147,147,شامات,Chamate,جبيل,جبل لبنان
148,148,شملان,Chamlane,عاليه,جبل لبنان
149,149,شان,Chane,عكار,عكار
150,150,شربيلا,Charbila,عكار,عكار
151,151,شارون,Charoun,عاليه,جبل لبنان
152,152,شرتون,Chartoun,عاليه,جبل لبنان
153,153,شاتين,Chatine,البترون,الشمال
154,154,شواليق,Chawalik,جزين,الجنوب
155,155,شحور,Chehour,صور,الجنوب
156,156,شكا,Chekka,البترون,الشمال
157,157,شيحين,Chihine,صور,الجنوب
158,158,شيخان,Chikhane,جبيل,جبل لبنان
159,159,شيخلار,Chikhlar,عكار,عكار
160,160,شليفا,Chlifa,قضاءي بعلبك والهرمل,بعلبك والهرمل
161,161,شموت,Chmout,جبيل,جبل لبنان
162,162,شويا,Chouaya,قضاءي مرجعيون وحاصبيا,النبطية
163,163,شويا,Chouaya,المتن,جبل لبنان
164,164,شويت,Chouit,بعبدا,جبل لبنان
165,165,شوكين,Choukine,النبطية,النبطية
166,166,شوريت,Chourite,الشوف,جبل لبنان
